Passenger_ID,Arrival_Minute,Wait_Time_Minutes,Check_Duration_Minutes,Departure_Minute
Passenger_1,0.51,0.0,1.75,2.26
Passenger_3,1.19,0.0,1.93,3.12
Passenger_2,0.52,0.0,3.41,3.93
Passenger_4,1.23,1.03,2.05,4.31
Passenger_5,1.36,1.76,2.26,5.38
Passenger_6,1.71,2.22,1.85,5.77
Passenger_7,1.72,2.59,2.46,6.77
Passenger_9,2.36,3.41,1.77,7.54
Passenger_8,1.83,3.54,3.16,8.53
Passenger_11,3.63,3.91,1.5,9.04
Passenger_10,2.8,3.97,2.74,9.51
Passenger_12,3.72,4.82,1.82,10.35
Passenger_14,5.95,3.56,1.53,11.04
Passenger_13,5.29,3.74,2.32,11.36
Passenger_15,6.83,3.52,2.27,12.62
Passenger_17,7.87,3.49,2.31,13.67
Passenger_16,7.26,3.78,3.01,14.05
Passenger_18,8.04,4.58,2.47,15.09
Passenger_19,8.08,5.58,2.22,15.89
Passenger_20,8.22,5.83,1.95,16.0
Passenger_21,8.27,6.82,1.5,16.6
Passenger_23,8.94,7.06,1.1,17.1
Passenger_22,8.43,7.46,1.89,17.78
Passenger_24,9.06,7.54,2.43,19.03
Passenger_26,9.8,7.98,1.41,19.19
Passenger_25,9.15,7.95,2.34,19.44
Passenger_29,12.29,7.15,1.52,20.96
Passenger_28,12.1,7.09,2.0,21.19
Passenger_27,12.08,6.95,2.44,21.47
Passenger_31,12.56,8.63,1.82,23.01
Passenger_30,12.44,8.52,2.15,23.11
Passenger_32,13.99,7.47,1.99,23.45
Passenger_34,15.38,7.74,1.95,25.07
Passenger_33,15.22,7.79,2.26,25.28
Passenger_35,15.81,7.64,1.92,25.37
Passenger_36,16.96,8.11,1.63,26.69
Passenger_38,17.23,8.14,1.58,26.95
Passenger_37,16.99,8.29,1.89,27.17
Passenger_39,17.38,9.31,1.32,28.02
Passenger_40,17.9,9.06,2.87,29.82
Passenger_42,19.74,8.28,1.9,29.91
Passenger_41,18.2,8.97,3.27,30.43
Passenger_44,20.29,9.62,1.0,30.91
Passenger_43,20.21,9.62,1.42,31.25
Passenger_45,21.01,9.43,1.73,32.17
Passenger_46,21.38,9.53,1.91,32.82
Passenger_47,22.44,8.81,1.65,32.89
Passenger_48,23.15,9.02,2.05,34.21
Passenger_49,23.31,9.52,1.44,34.26
Passenger_50,24.34,8.56,1.59,34.48
Passenger_53,25.58,8.9,0.45,34.94
Passenger_51,24.72,9.49,1.39,35.6
Passenger_52,25.38,8.89,2.45,36.71
Passenger_54,26.03,8.91,2.22,37.16
Passenger_55,26.16,9.45,2.15,37.75
Passenger_57,26.32,10.84,1.56,38.72
Passenger_56,26.28,10.43,2.15,38.86
Passenger_58,26.82,10.93,2.2,39.95
Passenger_59,26.94,11.78,1.46,40.18
Passenger_60,27.01,11.85,2.18,41.03
Passenger_62,27.43,12.74,1.63,41.81
Passenger_61,27.33,12.62,2.47,42.42
Passenger_63,27.49,13.55,1.75,42.78
Passenger_64,27.77,14.04,1.32,43.13
Passenger_65,28.04,14.37,1.67,44.08
Passenger_66,28.6,14.18,2.52,45.3
Passenger_68,30.97,13.11,1.49,45.57
Passenger_67,30.68,12.46,2.45,45.58
Passenger_69,31.12,14.18,1.25,46.54
Passenger_70,32.4,13.17,1.51,47.08
Passenger_71,36.02,9.56,2.23,47.82
Passenger_72,36.71,9.83,2.16,48.7
Passenger_73,36.74,10.34,1.91,48.99
Passenger_74,37.7,10.12,2.16,49.98
Passenger_75,38.15,10.55,2.08,50.78
Passenger_76,38.21,10.77,2.76,51.75
Passenger_77,39.32,10.66,2.08,52.06
Passenger_78,39.76,11.02,1.54,52.32
Passenger_79,40.13,11.62,2.43,54.18
Passenger_80,40.76,11.3,2.56,54.61
Passenger_81,41.31,11.0,2.36,54.68
Passenger_83,45.25,9.37,1.95,56.56
Passenger_82,42.01,12.17,2.4,56.58
Passenger_84,46.64,8.04,2.33,57.01
Passenger_86,48.16,8.42,2.2,58.78
